"id","zip_type","zip","zip_complement","short_name","long_name","state_id/unique_code","country_id/code"
7668,80,1214,60,"Vernier Dist","Vernier Distribution","CH_GE","CH"
7669,80,1180,60,"Rolle Distribution","Rolle Distribution","CH_VD","CH"
7670,80,1040,60,"Echallens Dist","Echallens Distribution","CH_VD","CH"
7671,80,3150,60,"Schwarzenburg Zust","Schwarzenburg Zustellung","CH_BE","CH"
7672,80,3177,60,"Laupen BE Zust","Laupen BE Zustellung","CH_BE","CH"
7673,80,3210,60,"Kerzers Zust","Kerzers Zustellung","CH_FR","CH"
7674,80,3294,60,"Büren a.A. Zust","Büren an der Aare Zust","CH_BE","CH"
7675,80,3415,60,"Hasle-Rüegsau Zust","Hasle-Rüegsau Zustellung","CH_BE","CH"
7676,80,3855,60,"Brienz BE Zust","Brienz BE Zustellung","CH_BE","CH"
7677,80,3860,60,"Meiringen Zust","Meiringen Zustellung","CH_BE","CH"
7678,80,4450,60,"Sissach Zustellung","Sissach Zustellung","CH_BL","CH"
7679,80,4460,60,"Gelterkinden Zust","Gelterkinden Zustellung","CH_BL","CH"
7680,80,4512,60,"Bellach Zustellung","Bellach Zustellung","CH_SO","CH"
7681,80,4552,60,"Derendingen Zust","Derendingen Zustellung","CH_SO","CH"
7682,80,4663,60,"Aarburg Zust","Aarburg Zustellung","CH_AG","CH"
7683,80,4614,60,"Hägendorf Zust","Hägendorf Zustellung","CH_SO","CH"
7684,80,5033,60,"Buchs AG Zust","Buchs AG Zustellung","CH_AG","CH"
7685,80,5036,60,"Oberentfelden Zust","Oberentfelden Zustellung","CH_AG","CH"
7686,80,5070,60,"Frick Zustellung","Frick Zustellung","CH_AG","CH"
7687,80,5734,60,"Reinach AG Zust","Reinach AG Zustellung","CH_AG","CH"
7688,80,5722,60,"Gränichen Zust","Gränichen Zustellung","CH_AG","CH"
7689,80,5630,60,"Muri AG Zustellung","Muri AG Zustellung","CH_AG","CH"
7690,80,6280,60,"Hochdorf Zust","Hochdorf Zustellung","CH_LU","CH"
7691,80,6110,60,"Wolhusen Zust","Wolhusen Zustellung","CH_LU","CH"
7692,80,6260,60,"Reiden Zustellung","Reiden Zustellung","CH_LU","CH"
7693,80,6314,60,"Unterägeri Zust","Unterägeri Zustellung","CH_ZG","CH"
7694,80,6060,60,"Sarnen 2 Zust","Sarnen 2 Zustellung","CH_OW","CH"
7695,80,6403,60,"Küssnacht SZ Zust","Küssnacht am Rigi Zust","CH_SZ","CH"
7696,80,8965,60,"Berikon 1 Zust","Berikon 1 Zustellung","CH_AG","CH"
7697,80,8132,60,"Egg ZH Zust","Egg b. Zürich Zustellung","CH_ZH","CH"
7698,80,8260,60,"Stein a.Rh. 1 Zust","Stein am Rhein 1 Zustellung","CH_SH","CH"
7700,80,8730,60,"Uznach Zustellung","Uznach Zustellung","CH_SG","CH"
7701,80,8808,60,"Pfäffikon SZ Zust","Pfäffikon SZ Zustellung","CH_SZ","CH"
7702,80,8832,60,"Wollerau Zust","Wollerau Zustellung","CH_SZ","CH"
7703,80,8840,60,"Einsiedeln Zust","Einsiedeln Zustellung","CH_SZ","CH"
7705,80,8854,60,"Siebnen Zust","Siebnen Zustellung","CH_SZ","CH"
7706,80,8750,60,"Glarus Zustellung","Glarus Zustellung","CH_GL","CH"
7707,80,9230,60,"Flawil 1 Zust","Flawil 1 Zustellung","CH_SG","CH"
7708,80,9240,60,"Uzwil Zustellung","Uzwil Zustellung","CH_SG","CH"
7709,80,9630,60,"Wattwil Zustellung","Wattwil Zustellung","CH_SG","CH"
7710,80,9053,60,"Teufen AR Zust","Teufen AR Zustellung","CH_AR","CH"
7711,80,9300,60,"Wittenbach Zust","Wittenbach Zustellung","CH_SG","CH"
7713,80,9410,60,"Heiden Zustellung","Heiden Zustellung","CH_AR","CH"
7714,80,9450,60,"Altstätten SG Zust","Altstätten SG Zustellung","CH_SG","CH"
7715,80,9424,60,"Rheineck Zust","Rheineck Zustellung","CH_SG","CH"
7716,80,9435,60,"Heerbrugg Zust","Heerbrugg Zustellung","CH_SG","CH"
7717,80,9430,60,"St.Margrethen Zust","St. Margrethen SG Zust","CH_SG","CH"
7718,80,9470,60,"Buchs SG 1 Zust","Buchs SG 1 Zustellung","CH_SG","CH"
7719,80,7013,60,"Domat/Ems Zust","Domat/Ems Zustellung","CH_GR","CH"
7720,80,7302,60,"Landquart Zust","Landquart Zustellung","CH_GR","CH"
7721,80,7320,60,"Sargans Zustellung","Sargans Zustellung","CH_SG","CH"
7722,80,7310,60,"Bad Ragaz Zust","Bad Ragaz Zustellung","CH_SG","CH"
7723,80,8887,60,"Mels Zustellung","Mels Zustellung","CH_SG","CH"
7724,80,8890,60,"Flums Zustellung","Flums Zustellung","CH_SG","CH"
7725,80,7503,60,"Samedan Zustellung","Samedan Zustellung","CH_GR","CH"
7727,80,6962,60,"Viganello Dist","Viganello Distribuzione","CH_TI","CH"
7729,80,6616,60,"Losone Dist","Losone Distribuzione","CH_TI","CH"
7738,80,5034,60,"Suhr Zustellung","Suhr Zustellung","CH_AG","CH"
7741,80,1222,60,"Vésenaz Dist","Vésenaz Distribution","CH_GE","CH"
7742,20,1965,9,"Monteiller-Savièse","Monteiller-Savièse","CH_VS","CH"
7743,40,9024,0,"St. Gallen","St. Gallen Presse-Serv.Güll","CH_SG","CH"
7746,80,4609,0,"Olten","Olten Sonderdienste","CH_SO","CH"
7757,20,1772,1,"Nierlet-les-Bois","Nierlet-les-Bois","CH_FR","CH"
7760,80,8015,50,"Zürich 15","Zürich 15","CH_ZH","CH"
7761,40,1818,0,"Montreux Redoute","Montreux La Redoute","CH_VD","CH"
7762,20,1787,1,"Mur (Vully) FR","Mur (Vully) FR","CH_FR","CH"
7781,20,1892,2,"Morcles","Morcles","CH_VD","CH"
7782,30,2074,2,"Marin-Centre","Marin-Centre","CH_NE","CH"
7787,20,9479,2,"Gretschins","Gretschins","CH_SG","CH"
7788,20,9479,1,"Malans SG","Malans SG","CH_SG","CH"
7791,80,8540,0,"Frauenfeld ST PP 1","Frauenfeld ST PP 1","CH_TG","CH"
7792,80,8530,0,"Frauenfeld CALL","Frauenfeld CALL","CH_TG","CH"
7793,80,4640,0,"Härkingen ST PP 1","Härkingen ST PP 1","CH_SO","CH"
7794,80,4630,0,"Härkingen CALL","Härkingen CALL","CH_SO","CH"
7795,80,1330,0,"Daillens CALL","Daillens CALL","CH_VD","CH"
7796,80,1320,0,"Daillens ST PP 1","Daillens ST PP 1","CH_VD","CH"
7799,80,6010,1,"Kriens 1","Kriens 1","CH_LU","CH"
7800,80,6010,3,"Kriens 2 Sternmatt","Kriens 2 Sternmatt","CH_LU","CH"
7801,30,6010,4,"Kriens 2","Kriens 2","CH_LU","CH"
7802,80,1897,2,"Port-Valais","Port-Valais","CH_VS","CH"
7811,40,6500,55,"Bellinzona VZ","Bellinzona VZ","CH_TI","CH"
7819,80,8080,49,"Zürich PV","Zürich PV","CH_ZH","CH"
7822,30,3989,1,"Grafschaft","Grafschaft","CH_VS","CH"
7823,80,2500,10,"Biel/Bienne 10","Biel/Bienne 10","CH_BE","CH"
7824,80,1200,18,"Genève 18","Genève 18","CH_GE","CH"
7825,20,8564,7,"Hattenhausen","Hattenhausen","CH_TG","CH"
7841,40,3000,90,"Bern 90","Bern 90","CH_BE","CH"
7844,30,1440,0,"Montagny-Chamard","Montagny-Chamard","CH_VD","CH"
7845,20,2149,2,"Fretereules","Fretereules","CH_NE","CH"
