"id","zip_type","zip","zip_complement","short_name","long_name","state_id:id","country_id:id"
6014,20,8505,2,"Dettighofen","Dettighofen","res_country_state_ch_tg","base.ch"
6016,20,8259,3,"Rheinklingen","Rheinklingen","res_country_state_ch_tg","base.ch"
6019,20,8572,2,"Andhausen","Andhausen","res_country_state_ch_tg","base.ch"
6020,20,8572,3,"Graltshausen","Graltshausen","res_country_state_ch_tg","base.ch"
6021,20,8585,9,"Birwinken","Birwinken","res_country_state_ch_tg","base.ch"
6022,20,8572,4,"Guntershausen Berg","Guntershausen b. Berg","res_country_state_ch_tg","base.ch"
6023,20,8585,10,"Klarsreuti","Klarsreuti","res_country_state_ch_tg","base.ch"
6025,20,8575,1,"Istighofen","Istighofen","res_country_state_ch_tg","base.ch"
6028,20,8556,2,"Engwang","Engwang","res_country_state_ch_tg","base.ch"
6029,20,8556,3,"Illhart","Illhart","res_country_state_ch_tg","base.ch"
6030,20,6720,2,"Ghirone","Ghirone","res_country_state_ch_ti","base.ch"
6031,20,6724,2,"Largario","Largario","res_country_state_ch_ti","base.ch"
6032,20,6723,3,"Marolta","Marolta","res_country_state_ch_ti","base.ch"
6033,20,6963,2,"Cureggia","Cureggia","res_country_state_ch_ti","base.ch"
6034,20,6814,2,"Lamone","Lamone","res_country_state_ch_ti","base.ch"
6035,20,3995,2,"Ausserbinn","Ausserbinn","res_country_state_ch_vs","base.ch"
6036,20,3995,3,"Mühlebach (Goms)","Mühlebach (Goms)","res_country_state_ch_vs","base.ch"
6037,20,3989,2,"Ritzingen","Ritzingen","res_country_state_ch_vs","base.ch"
6038,20,3989,3,"Selkingen","Selkingen","res_country_state_ch_vs","base.ch"
6039,20,3995,4,"Steinhaus","Steinhaus","res_country_state_ch_vs","base.ch"
6040,20,3957,2,"Bratsch","Bratsch","res_country_state_ch_vs","base.ch"
6041,80,3956,3,"Guttet","Guttet","res_country_state_ch_vs","base.ch"
6042,20,3983,2,"Bister","Bister","res_country_state_ch_vs","base.ch"
6043,20,3983,3,"Filet","Filet","res_country_state_ch_vs","base.ch"
6044,20,3983,4,"Goppisberg","Goppisberg","res_country_state_ch_vs","base.ch"
6045,20,3994,2,"Martisberg","Martisberg","res_country_state_ch_vs","base.ch"
6046,10,3940,0,"Steg VS","Steg VS","res_country_state_ch_vs","base.ch"
6047,20,9498,0,"Planken","Planken","res_country_state_ch_fl","base.ch"
6048,20,6212,2,"Kaltbach","Kaltbach","res_country_state_ch_lu","base.ch"
6049,20,8525,2,"Wilen b. Neunforn","Wilen b. Neunforn","res_country_state_ch_tg","base.ch"
6050,20,2735,4,"Malleray","Malleray","res_country_state_ch_be","base.ch"
6051,20,1653,2,"Crésuz","Crésuz","res_country_state_ch_fr","base.ch"
6052,20,1626,2,"Treyfayes","Treyfayes","res_country_state_ch_fr","base.ch"
6053,20,2027,3,"Fresens","Fresens","res_country_state_ch_ne","base.ch"
6054,20,2933,3,"Lugnez","Lugnez","res_country_state_ch_ju","base.ch"
6055,20,2953,3,"Pleujouse","Pleujouse","res_country_state_ch_ju","base.ch"
6056,20,1624,3,"Progens","Progens","res_country_state_ch_fr","base.ch"
6058,20,5012,3,"Wöschnau","Wöschnau","res_country_state_ch_so","base.ch"
6059,20,3984,2,"Fieschertal","Fieschertal","res_country_state_ch_vs","base.ch"
6060,20,6814,3,"Cadempino","Cadempino","res_country_state_ch_ti","base.ch"
6061,20,4584,2,"Lüterswil","Lüterswil","res_country_state_ch_so","base.ch"
6062,20,8905,3,"Arni AG","Arni AG","res_country_state_ch_ag","base.ch"
6063,20,8553,4,"Hüttlingen","Hüttlingen","res_country_state_ch_tg","base.ch"
6064,80,3956,2,"Feschel","Feschel","res_country_state_ch_vs","base.ch"
6065,30,8801,2,"Thalwil","Thalwil Fächer","res_country_state_ch_zh","base.ch"
6066,20,9470,5,"Werdenberg","Werdenberg","res_country_state_ch_sg","base.ch"
6067,20,8427,2,"Freienstein","Freienstein","res_country_state_ch_zh","base.ch"
6068,20,8427,3,"Rorbas","Rorbas","res_country_state_ch_zh","base.ch"
6121,20,1626,3,"Rueyres-Treyfayes","Rueyres-Treyfayes","res_country_state_ch_fr","base.ch"
6122,20,1884,2,"Arveyes","Arveyes","res_country_state_ch_vd","base.ch"
6125,20,3963,4,"Aminona","Aminona","res_country_state_ch_vs","base.ch"
6126,20,5053,2,"Wittwil","Wittwil","res_country_state_ch_ag","base.ch"
6127,20,6005,2,"St. Niklausen LU","St. Niklausen LU","res_country_state_ch_lu","base.ch"
6130,20,6995,2,"Madonna del Piano","Madonna del Piano","res_country_state_ch_ti","base.ch"
6131,20,7226,2,"Fajauna","Fajauna","res_country_state_ch_gr","base.ch"
6132,20,7743,2,"Miralago","Miralago","res_country_state_ch_gr","base.ch"
6133,20,8212,4,"Nohl","Nohl","res_country_state_ch_zh","base.ch"
6134,20,8471,2,"Dägerlen","Dägerlen","res_country_state_ch_zh","base.ch"
6136,80,9030,2,"Gaiserwald","Gaiserwald","res_country_state_ch_sg","base.ch"
6137,20,9122,2,"Ebersol","Ebersol","res_country_state_ch_sg","base.ch"
6141,30,6341,0,"Baar","Baar","res_country_state_ch_zg","base.ch"
6142,30,6342,0,"Baar","Baar","res_country_state_ch_zg","base.ch"
6143,80,6340,1,"Baar 1","Baar 1","res_country_state_ch_zg","base.ch"
6144,20,6900,9,"Paradiso","Paradiso","res_country_state_ch_ti","base.ch"
